epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.575478,0,7.58018,0,0,0,0,0,0,8.10498,0,0,0,0
2,1.03647,0,7.67874,0,0,0,0,0,0,8.11266,0,1.934e-05,1.934e-05,1.934e-05
3,1.53357,0,7.5762,0,0,0,0,0,0,8.11803,0,3.736e-05,3.736e-05,3.736e-05
4,1.98139,0,7.52042,0,0,0,0,0,0,8.12172,0,5.406e-05,5.406e-05,5.406e-05
5,2.42238,0,7.4759,0,0,0,0,0,0,8.12091,0,6.944e-05,6.944e-05,6.944e-05
6,2.86099,0,7.3938,0,0,0,0,0,0,8.12292,0,8.35e-05,8.35e-05,8.35e-05
7,3.31573,0,7.34859,0,0,0,0,0,0,8.12784,0,9.624e-05,9.624e-05,9.624e-05
8,3.75546,0,7.29947,0,0,0,0,0,0,8.13325,0,0.00010766,0.00010766,0.00010766
9,4.21003,0,7.26777,0,0,0,0,0,0,8.13694,0,0.00011776,0.00011776,0.00011776
10,4.66279,0,7.21202,0,0,0,0,0,0,8.1413,0,0.00012654,0.00012654,0.00012654
11,5.1035,0,7.19696,0,0,0,0,0,0,8.14719,0,0.000134,0.000134,0.000134
12,5.54873,0,7.06985,0,0,0,0,0,0,8.15647,0,0.00014014,0.00014014,0.00014014
13,5.99466,0,7.0425,0,0,0,0,0,0,8.16632,0,0.00014496,0.00014496,0.00014496
14,6.44354,0,6.89329,0,0,0,0,0,0,8.17639,0,0.00014846,0.00014846,0.00014846
15,6.91902,0,6.76091,0,0,0,0,0,0,8.18443,0,0.00015064,0.00015064,0.00015064
16,7.38016,0,6.68842,0,0,0,0,0,0,8.18745,0,0.0001515,0.0001515,0.0001515
17,7.83021,0,6.66378,0,0,0,0,0,0,8.18704,0,0.00015104,0.00015104,0.00015104
18,8.2452,0,6.51433,0,0,0,0,0,0,8.18704,0,0.00014926,0.00014926,0.00014926
19,8.69338,0,6.60647,0,0,0,0,0,0,8.17897,0,0.00014616,0.00014616,0.00014616
20,9.11365,0,6.47091,0,0,0,0,0,0,8.17897,0,0.00014174,0.00014174,0.00014174
21,9.56641,0,6.57415,0,0,0,0,0,0,8.16459,0,0.000136,0.000136,0.000136
22,9.98044,0,6.39266,0,0,0,0,0,0,8.16459,0,0.00012894,0.00012894,0.00012894
23,10.4243,0,6.37036,0,0,0,0,0,0,8.15402,0,0.00012056,0.00012056,0.00012056
24,10.8396,0,6.49197,0,0,0,0,0,0,8.15402,0,0.00011086,0.00011086,0.00011086
25,11.2793,0,6.29272,0,0,0,0,0,0,8.1477,0,9.984e-05,9.984e-05,9.984e-05
26,11.7063,0,6.52387,0,0,0,0,0,0,8.1477,0,8.75e-05,8.75e-05,8.75e-05
27,12.1689,0,6.56633,0,0,0,0,0,0,8.14995,0,7.384e-05,7.384e-05,7.384e-05
28,12.5968,0,6.19737,0,0,0,0,0,0,8.14995,0,5.886e-05,5.886e-05,5.886e-05
29,13.0356,0,6.19452,0,0,0,0,0,0,8.15254,0,4.256e-05,4.256e-05,4.256e-05
30,13.46,0,6.1704,0,0,0,0,0,0,8.15254,0,2.494e-05,2.494e-05,2.494e-05
