epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.58244,0,7.58018,0,0,0,0,0,0,8.10498,0,0,0,0
2,1.06782,0,7.67874,0,0,0,0,0,0,8.11269,0,1.9604e-05,1.9604e-05,1.9604e-05
3,1.55152,0,7.57583,0,0,0,0,0,0,8.11807,0,3.8416e-05,3.8416e-05,3.8416e-05
4,2.02604,0,7.51868,0,0,0,0,0,0,8.12169,0,5.6436e-05,5.6436e-05,5.6436e-05
5,2.49162,0,7.47145,0,0,0,0,0,0,8.12067,0,7.3664e-05,7.3664e-05,7.3664e-05
6,2.94081,0,7.38665,0,0,0,0,0,0,8.12387,0,9.01e-05,9.01e-05,9.01e-05
7,3.44973,0,7.33886,0,0,0,0,0,0,8.12923,0,0.000105744,0.000105744,0.000105744
8,3.99662,0,7.28451,0,0,0,0,0,0,8.135,0,0.000120596,0.000120596,0.000120596
9,4.49835,0,7.25192,0,0,0,0,0,0,8.13674,0,0.000134656,0.000134656,0.000134656
10,4.95522,0,7.18581,0,0,0,0,0,0,8.13815,0,0.000147924,0.000147924,0.000147924
11,5.42682,0,7.13411,0,0,0,0,0,0,8.14142,0,0.0001604,0.0001604,0.0001604
12,5.88116,0,7.01723,0,0,0,0,0,0,8.15183,0,0.000172084,0.000172084,0.000172084
13,6.55442,0,6.97575,0,0,0,0,0,0,8.16625,0,0.000182976,0.000182976,0.000182976
14,7.02167,0,6.82536,0,0,0,0,0,0,8.18069,0,0.000193076,0.000193076,0.000193076
15,7.50006,0,6.67007,0,0,0,0,0,0,8.18466,0,0.000202384,0.000202384,0.000202384
16,8.1088,0,6.57753,0,0,0,0,0,0,8.18586,0,0.0002109,0.0002109,0.0002109
17,8.58829,0,6.50683,0,0,0,0,0,0,8.18517,0,0.000218624,0.000218624,0.000218624
18,9.02093,0,6.35457,0,0,0,0,0,0,8.18517,0,0.000225556,0.000225556,0.000225556
19,9.48548,0,6.45391,0,0,0,0,0,0,8.16755,0,0.000231696,0.000231696,0.000231696
20,9.91198,0,6.25609,0,0,0,0,0,0,8.16755,0,0.000237044,0.000237044,0.000237044
21,10.3758,0,6.24884,0,0,0,0,0,0,8.14291,0,0.0002416,0.0002416,0.0002416
22,10.808,0,6.31343,0,0,0,0,0,0,8.14291,0,0.000245364,0.000245364,0.000245364
23,11.2894,0,6.17855,0,0,0,0,0,0,8.12549,0,0.000248336,0.000248336,0.000248336
24,11.7442,0,6.04814,0,0,0,0,0,0,8.12549,0,0.000250516,0.000250516,0.000250516
25,12.2204,0,6.0381,0,0,0,0,0,0,8.14213,0,0.000251904,0.000251904,0.000251904
26,12.6923,0,5.94572,0,0,0,0,0,0,8.14213,0,0.0002525,0.0002525,0.0002525
27,13.1424,0,5.90149,0,0,0,0,0,0,8.17551,0,0.000252304,0.000252304,0.000252304
28,13.5902,0,5.8257,0,0,0,0,0,0,8.17551,0,0.000251316,0.000251316,0.000251316
29,14.0418,0,5.83736,0,0,0,0,0,0,8.21073,0,0.000249536,0.000249536,0.000249536
30,14.49,0,5.71183,0,0,0,0,0,0,8.21073,0,0.000246964,0.000246964,0.000246964
31,14.9367,0,5.74504,0,0,0,0,0,0,8.22263,0,0.0002436,0.0002436,0.0002436
32,15.3708,0,5.68912,0,0,0,0,0,0,8.22263,0,0.000239444,0.000239444,0.000239444
33,15.866,0,5.68701,0,0,0,0,0,0,8.19942,0,0.000234496,0.000234496,0.000234496
34,16.2818,0,5.5663,0,0,0,0,0,0,8.19942,0,0.000228756,0.000228756,0.000228756
35,16.7555,0,5.57543,0,0,0,0,0,0,8.15826,0,0.000222224,0.000222224,0.000222224
36,17.2407,0,5.48846,0,0,0,0,0,0,8.15826,0,0.0002149,0.0002149,0.0002149
37,17.7496,0,5.73419,0,0,0,0,0,0,8.07264,0,0.000206784,0.000206784,0.000206784
38,18.1751,0,5.45708,0,0,0,0,0,0,8.07264,0,0.000197876,0.000197876,0.000197876
39,18.6452,0,5.48095,0,0,0,0,0,0,8.00177,0,0.000188176,0.000188176,0.000188176
40,19.0728,0,5.39221,0,0,0,0,0,0,8.00177,0,0.000177684,0.000177684,0.000177684
41,19.5271,0,5.72162,0,0,0,0,0,0,7.97124,0,0.0001664,0.0001664,0.0001664
42,20.0006,0,5.56098,0,0,0,0,0,0,7.97124,0,0.000154324,0.000154324,0.000154324
43,20.4694,0,5.70328,0,0,0,0,0,0,7.98935,0,0.000141456,0.000141456,0.000141456
44,20.9089,0,5.36857,0,0,0,0,0,0,7.98935,0,0.000127796,0.000127796,0.000127796
45,21.4213,0,5.36373,0,0,0,0,0,0,8.01229,0,0.000113344,0.000113344,0.000113344
46,21.975,0,5.36151,0,0,0,0,0,0,8.01229,0,9.81e-05,9.81e-05,9.81e-05
47,22.4432,0,5.34521,0,0,0,0,0,0,8.03292,0,8.2064e-05,8.2064e-05,8.2064e-05
48,22.935,0,5.4561,0,0,0,0,0,0,8.03292,0,6.5236e-05,6.5236e-05,6.5236e-05
49,23.4129,0,5.31433,0,0,0,0,0,0,8.00853,0,4.7616e-05,4.7616e-05,4.7616e-05
50,23.8886,0,5.38454,0,0,0,0,0,0,8.00853,0,2.9204e-05,2.9204e-05,2.9204e-05
